Organization Name,Invoice Number,Date,Total Amount
 Integrated quality business LLC, 101302, 06-2023, 5250.000
 Good Trust Trading LLC, GT-FINMIS-LA-288-0523, 31.05.2023," 2,538.968"
 Integrated quality business LLC, 101302, 06-2023, 5250.000
 M/S; Integrated quality business LLC, 101302, 06-2023, 5250.000
 Integrated quality business LLC, 1013, 02-06-2023, 5250.000
 Integrated quality business LLC, 101302, 06-2023, 5250.000
 M/S; Integrated quality business LLC, 1013, 02-06-2023, 5250.000
 Good Trust Trading LLC, GT-FINMIS-LA-288-0523, 31.05.2023," 2,538.968"
 Integrated quality business LLC, 101302, 06-2023, 5250.000
 Good Trust Trading LLC, GT-FINMIS-LA-288-0523, 31.05.2023," 2,538.968"
 Al Noor Projects Engineering & Trading LLC, REFANP/INV/5198/2023/AMC57, 06.06.2023," 1,449.000"
 M/S; Integrated quality business LLC, 101302, 06-2023, 5250.000
 Good Trust Trading LLC, GT-FINMIS-LA-288-0523, 31.05.2023," 2,538.968"
 Integrated Quality Business, GT-FINMIS-LA-288-0523, 31.05.2023," 2,538.968"
